,4/7/20,4/8/20,4/9/20
Dundy County Hospital,1.0,1.0,NA
Dunes Surgical Hospital (FKA Siouxland Surgery Center),0.0,0.0,NA
Dupont Hospital,2.0,2.0,NA
Durham VA Health Care System (AKA Durham VA Medical Center),0.0,0.0,NA
Dwight D Eisenhower Army Medical Center,1.0,1.0,NA
Dyersburg Hospital (FKA Tennova Healthcare - Dyersburg Regional),3.0,3.0,NA
Eagleville Hospital,0.0,0.0,NA
East Adams Rural Hospital,0.0,0.0,NA
East Alabama Medical Center - Lanier,0.0,0.0,NA
East Alabama Medical Center - Opelika,10.0,10.0,NA
East Carroll Parish Hospital,0.0,0.0,NA
East Central Regional Hospital,0.0,0.0,NA
East Cooper Medical Center,2.0,2.0,NA
East Georgia Regional Medical Center,4.0,4.0,NA
East Jefferson General Hospital,5.0,5.0,NA
East Liverpool City Hospital,4.0,4.0,NA
East Los Angeles Doctors Hospital,2.0,2.0,NA
East Mississippi State Hospital,0.0,0.0,NA
East Morgan County Hospital,1.0,1.0,NA
East Orange General Hospital,6.0,6.0,NA
East Tennessee Childrens Hospital,4.0,4.0,NA
EastPointe Hospital,0.0,0.0,NA
Eastern Idaho Regional Medical Center,7.0,7.0,NA
Eastern Louisiana Mental Health System (AKA East Lousiana State Hospital),0.0,0.0,NA
Eastern New Mexico Medical Center,3.0,3.0,NA
Eastern Niagara Hospital - Lockport,2.0,2.0,NA
Eastern Oklahoma Medical Center,2.0,2.0,NA
Eastern Oklahoma VA Health Care System - Jack C Montgomery VA Medical Center,1.0,1.0,NA
Eastern Plumas Hospital - Portola Campus,0.0,0.0,NA
Eastern Shore Hospital Center,0.0,0.0,NA
Eastern State Hospital,0.0,0.0,NA
Eastland Memorial Hospital,2.0,2.0,NA
Easton Hospital,4.0,4.0,NA
Eastside Medical Center,6.0,6.0,NA
Eastside Psychiatric Hospital,0.0,0.0,NA
Eating Recovery Center - Dallas,0.0,0.0,NA
Eating Recovery Center - Denver,0.0,0.0,NA
Eaton Rapids Medical Center,2.0,2.0,NA
Eden Medical Center,10.0,10.0,NA
Edgefield County Hospital,1.0,1.0,NA
Edgerton Hospital and Health Services,0.0,0.0,NA
Edgewood Surgical Hospital,0.0,0.0,NA
Edith Nourse Rogers Memorial Veterans Hospital,1.0,1.0,NA
Edward Hines Jr VA Hospital,2.0,2.0,NA
Edward Hospital (FKA Edward Heart Hospital),20.0,20.0,NA
Edwards County Medical Center,0.0,0.0,NA
Effingham Health System (AKA Effingham Hospital),2.0,2.0,NA
Egleston Hospital (FKA Childrens Healthcare Egleston),5.0,5.0,NA
Einstein Medical Center Montgomery (FKA Montgomery Hospital Medical Center),6.0,6.0,NA
Einstein Medical Center Philadelphia,17.0,17.0,NA
Eisenhower Health (FKA Eisenhower Medical Center),9.0,9.0,NA
El Camino Hospital - Mountain View Campus,13.0,13.0,NA
El Campo Memorial Hospital,2.0,2.0,NA
El Centro Regional Medical Center,4.0,4.0,NA
El Paso Behavioral Health System (FKA University Behavioral Health of El Paso),0.0,0.0,NA
El Paso Childrens Hospital,2.0,2.0,NA
El Paso LTAC Hospital,2.0,2.0,NA
El Paso Psychiatric Center,0.0,0.0,NA
Elbert Memorial Hospital,2.0,2.0,NA
Eleanor Slater Hospital,2.0,2.0,NA
Electra Memorial Hospital,0.0,0.0,NA
Elgin Mental Health Center,0.0,0.0,NA
Elizabethtown Community Hospital,1.0,1.0,NA
Elkhart General Hospital,6.0,6.0,NA
Elkhorn Valley Rehabilitation Hospital,3.0,3.0,NA
Elkview General Hospital,2.0,2.0,NA
Ellenville Regional Hospital,0.0,0.0,NA
Ellett Memorial Hospital,0.0,0.0,NA
Ellinwood District Hospital,0.0,0.0,NA
Elliot Hospital (AKA Elliot Health System),4.0,4.0,NA
Ellis Hospital,7.0,7.0,NA
Ellsworth County Medical Center,0.0,0.0,NA
Elmhurst Hospital,9.0,9.0,NA
Elmira Psychiatric Center,0.0,0.0,NA
Elmore Community Hospital,1.0,1.0,NA
Ely Bloomenson Community Hospital,1.0,1.0,NA
Emanate Health Foothill Presbyterian Hospital (FKA Foothill Presbyterian Hospital),4.0,4.0,NA
Emanate Health Inter-Community Hospital (FKA Inter-Community Hospital),10.0,10.0,NA
Emanuel Medical Center,2.0,2.0,NA
Emerald Coast Behavioral Hospital,0.0,0.0,NA
Emerson Hospital,2.0,2.0,NA
Eminent Medical Center,0.0,0.0,NA
Emory Decatur Hospital (FKA DeKalb Medical Center North Decatur),11.0,11.0,NA
Emory Hillandale Hospital (FKA DeKalb Medical Center at Hillandale),4.0,4.0,NA
Emory Johns Creek Hospital,3.0,3.0,NA
Emory Long-Term Acute Care (FKA DeKalb Medical Long Term Acute Care at Downtown Decatur),2.0,2.0,NA
Emory Rehabilitation Hospital,1.0,1.0,NA
Emory Saint Josephs Hospital (AKA St Josephs Hospital of Atlanta),7.0,7.0,NA
Emory University Hospital,11.0,11.0,NA
Emory University Hospital Midtown,9.0,9.0,NA
Emory University Orthopaedics & Spine Hospital,0.0,0.0,NA
Encino Hospital Medical Center,2.0,2.0,NA
Encompass Health Deaconess Rehabilitation Hospital (FKA Healthsouth Deaconess Rehab),0.0,0.0,NA
Encompass Health Lakeshore Rehabilitation Hospital (FKA Healthsouth Lakeshore Hospital),1.0,1.0,NA
Encompass Health Rehabilitation Hospital - Partner of Memorial Hospital at Gulfport (FKA HealthSouth Rehabilitation Hospital of Gulfport),0.0,0.0,NA
Encompass Health Rehabilitation Hospital - Partner of Washington Regional (FKA HealthSouth Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital Vision Park (FKA Reliant Hospital North Houston),0.0,0.0,NA
Encompass Health Rehabilitation Hospital at Martin Health (FKA HealthSouth Rehabilitation Hospital at Martin Health),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Abilene (FKA HealthSouth Rehabilitation Hospital of Abilene),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Albuquerque (FKA HealthSouth Rehabilitation Hospital of Albuquerque),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Alexandria (FKA HealthSouth Rehabilitation Hospital of Alexandria),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Altamonte Springs (FKA HealthSouth Rehabilitation Hospital of Altamonte Springs),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Altoona (FKA Healthsouth Rehabilitation Hospital of Altoona),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Arlington (FKA Healthsouth Rehab of Arlington),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Austin (FKA HealthSouth Rehabilitation Hospital of South Austin),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Bakersfield (FKA HealthSouth Bakersfield Rehabilitation Hospital),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Bluffton,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Braintree (FKA HealthSouth Braintree Rehabilitation Hospital),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Charleston,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Chattanooga (FKA HealthSouth Chattanooga Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Cincinnati (FKA HealthSouth Rehabilitation Hospital of Cincinnati),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of City View (FKA Healthsouth Rehab of Cityview),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Colorado Springs,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Columbia,2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Concord (FKA HealthSouth Rehabilitation Hospital of Concord),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Cypress (FKA Healthsouth Rehabilitation Hospital of Cypress),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Dallas (FKA HealthSouth Rehabilitation Hospital of Dallas),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Dayton (FKA HealthSouth Rehabilitation Hospital of Dayton),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Desert Canyon (FKA Healthsouth Desert Canyon Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Dothan (FKA Healthsouth Rehab Dothan),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of East Valley,2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Erie (FKA HealthSouth Rehabilitation Hospital of Erie),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Florence (FKA Healthsouth Rehabilitation Hospital of Florence),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Fort Smith (FKA HealthSouth Rehabilitation Hospital of Fort Smith),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Franklin (FKA Healthsouth Rehabilitation Hospital of Franklin),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Fredericksburg,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Gadsden (FKA Healthsouth Gadsden Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Harmarville (FKA HealthSouth Harmarville Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Henderson (FKA Healthsouth Rehabilitation Hospital of Henderson),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Humble (FKA Healthsouth Rehabilitation Hospital of Humble),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Huntington (FKA HealthSouth Rehabilitation Hospital of Huntington),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Jonesboro (FKA HealthSouth Rehabilitation Hospital of Jonesboro),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Katy,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Kingsport (FKA HealthSouth Rehabilitation Hospital of Kingsport),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Lakeview (FKA HealthSouth Lakeview Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Largo (FKA Healthsouth Rehabilitation Hospital of Largo),3.0,3.0,NA
Encompass Health Rehabilitation Hospital of Las Vegas (FKA Healthsouth Rehabilitation Hospital of Las Vegas),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Littleton,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Manati (FKA HealthSouth Rehabilitation Hospital of Manati),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Mechanicsburg (FKA HealthSouth Rehabilitation Hospital of Mechanicsburg),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Memphis (FKA HealthSouth Rehabilitation Hospital of Memphis),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Miami (FKA Healthsouth Rehab Hospital of Miami),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Middletown (FKA HealthSouth Rehabilitation Hospital of Middletown),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Midland Odessa (FKA HealthSouth Rehabilitation Hospital of Midland/Odessa),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Modesto (FKA HealthSouth Rehabilitation Hospital of Modesto),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Montgomery (FKA Healthsouth Rehab Hospital of Montgomery),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Morgantown (FKA HealthSouth MountainView Regional Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of MountainView at Bridgeport,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of New England (FKA HealthSouth New England Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Newnan (FKA HealthSouth Rehabilitation Hospital of Newnan),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Nittany Valley (FKA Healthsouth Nittany Valley Rehabilitation Hospital),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of North Alabama (FKA Healthsouth Rehab of North Alabama),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of North Memphis (FKA HealthSouth Rehabilitation Hospital-North),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Northern Kentucky (FKA HealthSouth Northern Kentucky Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Northern Virginia (FKA Healthsouth Rehabilitation Hospital of Northern Virginia),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Northwest Tucson (FKA Healthsouth Southern Arizona Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Ocala (FKA HealthSouth Rehabilitation Hospital of Ocala),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Panama City (FKA Healthsouth Emerald Coast Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Parkersburg (FKA HealthSouth Western Hills Regional Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Pearland (FKA HealthSouth Pearland Rehabilitation Hospital),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Petersburg (FKA Healthsouth Rehab of Petersburg),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Plano (FKA Healthsouth Rehab of Plano),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Princeton (FKA HealthSouth Southern Hills Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Reading (FKA HealthSouth Reading Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Richardson (FKA HealthSouth Rehabilitation Hospital of Richardson),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Richmond (FKA Healthsouth Rehabilitation Hospital of Richmond),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Rock Hill,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Round Rock (FKA HealthSouth Rehabilitation Hospital of Round Rock),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Salisbury (FKA HealthSouth Chesapeake Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of San Antonio (FKA HealthSouth Rehabilitation Institute of San Antonio),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of San Juan (FKA HealthSouth Rehabilitation Hospital of San Juan),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Sarasota (FKA Healthsouth Rehab Hospital of Sarasota),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Savannah (FKA Rehabilitation Hospital of Savannah),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Scottsdale,0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Sewickley (FKA HealthSouth Rehabilitation Hospital of Sewickley),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Shelby County (FKA HealthSouth Pelham),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Spring Hill (FKA Healthsouth Rehab of Spring Hill),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Sugar Land (FKA Healthsouth Rehabilitation Hospital - Sugarland),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Sunrise (FKA Healthsouth Sunrise Rehab Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Tallahassee (FKA Healthsouth Rehab of Tallahassee),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Texarkana (FKA Healthsouth Rehab of Texarkana),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Tinton Falls (FKA HealthSouth Rehabilitation Hospital of Tinton Falls),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Toms River (FKA Healthsouth Rehabilitation Hospital of Toms River),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Treasure Coast (FKA Healthsouth of Treasure Coast),2.0,2.0,NA
Encompass Health Rehabilitation Hospital of Tustin (FKA HealthSouth Tustin Rehabilitation Hospital),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Utah (FKA HealthSouth Rehabilitation Hospital of Utah),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Vineland (FKA HealthSouth Rehabilitation Hospital of Vineland),1.0,1.0,NA
Encompass Health Rehabilitation Hospital of Western Massachusetts (FKA Healthsouth Rehabilitation Hospital of Western Massachusetts),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of Wichita Falls (FKA HealthSouth Rehabilitation Hospital of Wichita Falls),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of York (FKA HealthSouth Rehabilitation Hospital of York),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of the Mid-Cities (FKA HealthSouth Rehabilitation Hospital of the Mid-Cities),0.0,0.0,NA
Encompass Health Rehabilitation Hospital of the Woodlands (FKA Healthsouth Rehab of Woodlands),0.0,0.0,NA
Encompass Health Rehabilitation Hospital the Vintage (FKA HealthSouth Rehabilitation Hospital of Vintage Park),0.0,0.0,NA
Encompass Health Rehabilitation Institute of Tucson,0.0,0.0,NA
Encompass Health Valley of the Sun Rehabilitation Hospital (FKA Healthsouth Rehab - Valley of the Sun),0.0,0.0,NA
Endless Mountains Health System (FKA Montrose General Hospital),0.0,0.0,NA
Englewood Community Hospital,3.0,3.0,NA
Englewood Hospital and Medical Center (AKA Englewood Health),10.0,10.0,NA
Enloe Medical Center,7.0,7.0,NA
Ennis Regional Medical Center,2.0,2.0,NA
Ephraim McDowell Fort Logan Hospital,2.0,2.0,NA
Ephraim McDowell James B Haggin Hospital,2.0,2.0,NA
Ephraim McDowell Regional Medical Center,8.0,8.0,NA
Erie County Medical Center (AKA ECMC),6.0,6.0,NA
Erie VA Medical Center,1.0,1.0,NA
Erlanger Baroness Hospital (FKA Erlanger Medical Center - Baroness Campus),22.0,22.0,NA
Erlanger Behavioral Health Hospital,0.0,0.0,NA
Erlanger Bledsoe Hospital,1.0,1.0,NA
Erlanger Western Carolina Hospital (FKA Murphy Medical Center),2.0,2.0,NA
Eskenazi Health (AKA Sidney & Lois Eskenazi Hospital),11.0,11.0,NA
Essentia Health - Ada (FKA Bridges Medical Center),1.0,1.0,NA
Essentia Health - Deer River,2.0,2.0,NA
Essentia Health - Duluth (FKA SMDC Medical Center),3.0,3.0,NA
Essentia Health - Fargo (FKA Innovis Health),7.0,7.0,NA
Essentia Health - Fosston (FKA First Care Medical Services),1.0,1.0,NA
Essentia Health - Holy Trinity Hospital,1.0,1.0,NA
Essentia Health - Northern Pines (FKA White Community Hospital),1.0,1.0,NA
Essentia Health - Sandstone (FKA Pine Medical Center),1.0,1.0,NA
Essentia Health - St Josephs Medical Center (FKA St Josephs Medical Center),3.0,3.0,NA
Essentia Health - St Marys Medical Center,17.0,17.0,NA
Essentia Health - Virginia,2.0,2.0,NA
Essentia Health St Marys - Detroit Lakes (FKA St Marys Regional Health Center),2.0,2.0,NA
Essentia Health St Marys Hospital - Superior (FKA St Marys Hospital of Superior),2.0,2.0,NA
Essex County Hospital Center,0.0,0.0,NA
Estes Park Health (FKA Estes Park Medical Center),0.0,0.0,NA
Euclid Hospital,2.0,2.0,NA
Eureka Community Health Services Avera,0.0,0.0,NA
Eureka Springs Hospital,2.0,2.0,NA
Evangelical Community Hospital,4.0,4.0,NA
Evans Army Community Hospital,0.0,0.0,NA
Evans Memorial Hospital,2.0,2.0,NA
Evanston Hospital,27.0,27.0,NA
Evanston Regional Hospital,2.0,2.0,NA
Evansville State Hospital,0.0,0.0,NA
Everest Rehabilitation Hospital of Keller,0.0,0.0,NA
Everest Rehabilitation Hospital of Longview,0.0,0.0,NA
Everest Rehabilitation Hospital of NWA,0.0,0.0,NA
Everest Rehabilitation Hospital of OKC,0.0,0.0,NA
Everest Rehabilitation Hospital of Temple,0.0,0.0,NA
Evergreen Medical Center,0.0,0.0,NA
EvergreenHealth Medical Center,7.0,7.0,NA
EvergreenHealth Monroe (FKA Valley General Hospital),2.0,2.0,NA
Excela Health Frick Hospital,2.0,2.0,NA
Excela Health Latrobe Hospital,3.0,3.0,NA
Excela Health Westmoreland Hospital,7.0,7.0,NA
Excelsior Springs Hospital,2.0,2.0,NA
Exeter Hospital,2.0,2.0,NA
Exodus Fresno Crisis Stabilization Center,0.0,0.0,NA
FHN Memorial Hospital,4.0,4.0,NA
FMC Butner,0.0,0.0,NA
FMC Carswell,0.0,0.0,NA
FMC Devens,0.0,0.0,NA
FMC Lexington,0.0,0.0,NA
FMC Rochester,0.0,0.0,NA
FW Huston Medical Center (FKA Jefferson County Memorial Hospital),0.0,0.0,NA
Fairbanks,0.0,0.0,NA
Fairbanks Memorial Hospital,2.0,2.0,NA
Fairchild Medical Center,2.0,2.0,NA
Fairfax Behavioral Health (AKA Fairfax Behavioral Health Kirkland),0.0,0.0,NA
Fairfax Community Hospital,0.0,0.0,NA
Fairfield Medical Center,6.0,6.0,NA
Fairfield Memorial Hospital,2.0,2.0,NA
Fairlawn Rehabilitation Hospital,2.0,2.0,NA
Fairmount Behavioral Health System (FKA Fairmount Hospital),1.0,1.0,NA
Fairview Developmental Center,0.0,0.0,NA
Fairview Hospital,2.0,2.0,NA
Fairview Park Hospital,5.0,5.0,NA
Fairview Range (FKA Fairview Range Medical Center),2.0,2.0,NA
Fairview Regional Medical Center,0.0,0.0,NA
Faith Community Hospital,1.0,1.0,NA
Faith Regional Health Services,5.0,5.0,NA
Fall River Hospital,1.0,1.0,NA
Fallon Medical Complex,0.0,0.0,NA
Falls Community Hospital and Clinic,1.0,1.0,NA
Falmouth Hospital,4.0,4.0,NA
Family Emergency Hospital at Lake Travis,0.0,0.0,NA
Family Emergency Room Surgical Hospital,0.0,0.0,NA
Family Health West (FKA Colorado Canyons Hospital and Medical Center),1.0,1.0,NA
Fannin Regional Hospital,2.0,2.0,NA
Fargo VA Health Care System,1.0,1.0,NA
Faulkton Area Medical Center,0.0,0.0,NA
Fauquier Hospital (AKA Fauquier Health System),3.0,3.0,NA
Fawcett Memorial Hospital,9.0,9.0,NA
Faxton St Lukes Healthcare - St Lukes Campus,7.0,7.0,NA
Fayette County Hospital,1.0,1.0,NA
Fayette County Memorial Hospital,2.0,2.0,NA
Fayette Medical Center (FKA Weimer Medical Center),2.0,2.0,NA
Fayetteville VA Medical Center,0.0,0.0,NA
Fern Lodge,0.0,0.0,NA
Ferrell Hospital,1.0,1.0,NA
Ferry County Public Hospital,0.0,0.0,NA
Field Health System (FKA Field Memorial Community Hospital),2.0,2.0,NA
Fillmore Community Hospital (FKA Fillmore Community Medical Center),0.0,0.0,NA
Fillmore County Hospital,0.0,0.0,NA
Firelands Regional Medical Center,4.0,4.0,NA
First Baptist Medical Center,0.0,0.0,NA
First Care Health Center,0.0,0.0,NA
First Hospital,0.0,0.0,NA
First Surgical Hospital,0.0,0.0,NA
First Texas Hospital (AKA Adeptus Health),2.0,2.0,NA
FirstHealth Montgomery Memorial Hospital,2.0,2.0,NA
FirstHealth Moore Regional Hospital,14.0,14.0,NA
FirstHealth Moore Regional Hospital - Hoke,0.0,0.0,NA
Fisher County Hospital District,0.0,0.0,NA
Fisher Titus Medical Center (FKA Fisher Titus Memorial Hospital),2.0,2.0,NA
Fishermens Community Hospital,2.0,2.0,NA
Fitzgibbon Hospital,2.0,2.0,NA
Flaget Memorial Hospital,2.0,2.0,NA
Flagler Health (AKA Flagler Hospital),6.0,6.0,NA
Flagstaff Medical Center,7.0,7.0,NA
Flambeau Hospital,1.0,1.0,NA
Fleming County Hospital,2.0,2.0,NA
Flint River Hospital,0.0,0.0,NA
Florence Hospital (FKA Florence Hospital at Anthem),2.0,2.0,NA
Florence Medical Center (FKA Carolinas Hospital System - Florence),7.0,7.0,NA
Florida State Hospital,0.0,0.0,NA
Flowers Hospital,8.0,8.0,NA
Floyd County Medical Center,0.0,0.0,NA
Floyd Medical Center,10.0,10.0,NA
Floyd Valley Healthcare,2.0,2.0,NA
Flushing Hospital Medical Center,8.0,8.0,NA
Fond Du Lac County Healthcare Center,0.0,0.0,NA
Foothill Regional Medical Center (FKA Newport Specialty Hospital),2.0,2.0,NA
Forbes Hospital,6.0,6.0,NA
Forest Health Medical Center - Michigan,1.0,1.0,NA
Forest View Hospital,0.0,0.0,NA
Forks Community Hospital,1.0,1.0,NA
Forrest City Medical Center,2.0,2.0,NA
Forrest General Hospital,21.0,21.0,NA
Fort Belknap Service Unit (AKA Fort Belknap Hospital),0.0,0.0,NA
Fort Belvoir Community Hospital,0.0,0.0,NA
Fort Defiance Indian Hospital,1.0,1.0,NA
Fort Duncan Regional Medical Center,3.0,3.0,NA
Fort Hamilton Hospital,3.0,3.0,NA
Fort Lauderdale Behavioral Health Center (AKA Fort Lauderdale Hospital),0.0,0.0,NA
Fort Loudoun Medical Center,2.0,2.0,NA
Fort Madison Community Hospital,2.0,2.0,NA
Fort Memorial Hospital (AKA Fort HealthCare),2.0,2.0,NA
Fort Sanders Regional Medical Center,9.0,9.0,NA
Fort Walton Beach Medical Center,9.0,9.0,NA
Fort Washington Medical Center,2.0,2.0,NA
Foundation Surgical Hospital of San Antonio,1.0,1.0,NA
Foundations Behavioral Health,0.0,0.0,NA
Fountain Valley Regional Hospital & Medical Center,14.0,14.0,NA
Four County Counseling Center,0.0,0.0,NA
Four Winds Saratoga,0.0,0.0,NA
Four Winds Westchester,0.0,0.0,NA
Fox Chase Cancer Center,3.0,3.0,NA
Fox Run Center for Children and Adolescents,0.0,0.0,NA
Frances Mahon Deaconess Hospital,0.0,0.0,NA
Franciscan Health Carmel (FKA Franciscan St Francis Health - Carmel),2.0,2.0,NA
Franciscan Health Crawfordsville (FKA Franciscan St Elizabeth Health - Crawfordsville),2.0,2.0,NA
Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),11.0,11.0,NA
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),6.0,6.0,NA
Franciscan Health Hammond (FKA Franciscan St Margaret Health - Hammond Campus),8.0,8.0,NA
Franciscan Health Indianapolis (FKA Franciscan St Francis Health - Indianapolis),23.0,23.0,NA
Franciscan Health Lafayette East (FKA Franciscan St Elizabeth Health - Lafayette East Campus),10.0,10.0,NA
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),6.0,6.0,NA
Franciscan Health Mooresville (FKA Franciscan St Francis Health - Mooresville),3.0,3.0,NA
Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),3.0,3.0,NA
Franciscan Health Olympia Fields (FKA Franciscan St James Health - Olympia Fields Campus),13.0,13.0,NA
Franciscan Health Rensselaer (FKA Jasper County Hospital),2.0,2.0,NA
Franciscan Hospital for Children,0.0,0.0,NA
Frankfort Regional Medical Center,4.0,4.0,NA
Franklin County Medical Center,0.0,0.0,NA
Franklin County Memorial Hospital,1.0,0.0,NA
Franklin Foundation Hospital,2.0,2.0,NA
Franklin General Hospital,0.0,0.0,NA
Franklin Hospital,2.0,2.0,NA
Franklin Medical Center,2.0,2.0,NA
Franklin Memorial Hospital,2.0,2.0,NA
Franklin Regional Hospital,2.0,2.0,NA
Franklin Woods Community Hospital,2.0,2.0,NA
Frederick Health Hospital (FKA Frederick Regional Health System),16.0,16.0,NA
Fredonia Regional Hospital,1.0,1.0,NA
Freedom Behavioral Hospital of Central Arkansas,NA,NA,NA
Freedom Behavioral Hospital of Topeka,0.0,0.0,NA
Freeman Hospital West,19.0,19.0,NA
Freeman Neosho Hospital,2.0,2.0,NA
Freeman Regional Health Services (AKA Freeman Medical Center),0.0,0.0,NA
Freestone Medical Center (FKA East Texas Medical Center - Fairfield),1.0,1.0,NA
Fremont Hospital,0.0,0.0,NA
French Hospital Medical Center,6.0,6.0,NA
Fresno Heart & Surgical Hospital,0.0,0.0,NA
Fresno Surgical Hospital,1.0,1.0,NA
Friend Community Healthcare System (FKA Warren Memorial Hospital),0.0,0.0,NA
Friends Hospital,1.0,1.0,NA
Frio Regional Hospital,1.0,1.0,NA
Frisbie Memorial Hospital,3.0,3.0,NA
Froedtert Hospital,28.0,28.0,NA
Froedtert Kenosha Hospital (FKA Kenosha Medical Center),4.0,4.0,NA
Frye Regional Medical Center,8.0,8.0,NA
